"action","boro","inspection_date","cuisine_description","dba","score","street","violation_description","zipcode","grade","lon"
NA,"MANHATTAN",2017-01-03,"Donuts","DUNKIN' DONUTS",16,"6TH AVE","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,NA,NA
NA,"MANHATTAN",2017-01-03,"Chinese","GRAND SICHUAN",29,"9TH AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"C",NA
NA,"MANHATTAN",2017-01-03,"American","BRGR",9,"7 AVENUE","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,"A",NA
NA,"MANHATTAN",2017-01-03,"Juice, Smoothies, Fruit Salads","JUICOLOGY",18,"8TH AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"B",NA
NA,"MANHATTAN",2017-01-03,"American","MAXWELLS CHOPHOUSE NY",5,"BROADWAY","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",NA
NA,"MANHATTAN",2017-01-03,"Chinese","LANZHOU RAMEN 107",29,"E BROADWAY","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10002,NA,NA
NA,"MANHATTAN",2017-01-03,"Chinese","CHEF 28 LOUNGE",25,"HENRY ST","Evidence of mice or live mice present in facility's food and/or non-food areas.",10002,NA,NA
NA,"MANHATTAN",2017-01-03,"Mediterranean","DELILAH",13,"RIVINGTON ST","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10002,"A",NA
NA,"MANHATTAN",2017-01-03,"Japanese","15 EAST RESTAURANT",12,"EAST   15 STREET","Hot food item not held at or above 140Âº F.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"American","BLACK AND WHITE",5,"EAST 10 STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10003,"A",NA
